,or789,or1355,or4488,or4421,or4320,or2185,or2127,or4326,or2158,or4366,or4473,or4386,or4385,or4395,or2157,or4349,or3752,or2770,or4502,or4400,or3466,or506,or2130,or3182,or2224,or3558,or2178,or3183,or3336,or2022,or2122,or2015,or4347,or2093,or4361,or2067,or3619,or4253,or4355,or2709,or4503,or2201,or4345,or2899,or2062,or4449,or4331,or2027,or1577,or4495,or2205,or919,or1990,or3587,or4527,or4469,or4398,or2191,or1484,or2181,or4451,or1488,or4384,or4446,or2182,or4367,or4394,or352,or1201,or2081,or728,or2104,or4479,or3053,or2013,or4429,or2011,or2117,or2245,or4396,or2160,or4381,or635,or2616,or2118,or1606,or4368,or2165,or2156,or4377,or2393,or4348,or2215,or4408,or4472,or445,or4393,or2161,or2121,or2208,or4452,or4382,or4522,or4521,or4414,or2246,or2264,or1984,or2085,or3275,or4410,or4035,or4357,or1771,or2239,or2187,or4510,or1040,or3465,or2992,or2146,or4466,or2120,or2091,or2084,or4254,or2258,or918,or2209,or4422,or4275,or2136,or1699,or2207,or2231,or4455,or3304,or2144,or4435,or4420,or3963,or4425,or2129,or129,or2188,or1072,or1011,or1323,or2125,or4391,or3748,or2131,or3870,or4465,or2083,or2333
f1,-0.53077854,-0.375554659,-1,-1,-1,-0.828946186,-0.861234369,-1,-0.91851553,-1,-1,-1,-1,-1,-0.930617184,-1,-1,-1,-1,-1,-1,-0.544251714,-0.903993546,-1,-0.809389715,-1,-0.882210569,-1,-1,-0.924162969,-0.910447761,-0.505445744,-1,-0.9580476,-1,-0.919322307,-1,-1,-1,-1,-1,-0.852359823,-1,-1,-0.856393707,-1,-1,-0.916901977,-0.311012505,-1,-0.881403792,-0.799515934,-0.881403792,-1,-1,-1,-1,-0.943525615,-0.450584913,-0.753933038,-1,-0.712787414,-1,-1,-0.882210569,-1,-1,-0.481161759,-0.465106898,-0.906413877,-0.584590561,-0.948366277,-1,-1,-0.964501815,-1,-0.886244453,-0.769261799,-0.953206938,-1,-0.910447761,-1,-0.476643808,-1,-0.860427592,-0.661153691,-1,-0.935457846,-0.893505446,-1,-1,-1,-0.814441307,-1,-1,-0.586446148,-1,-0.886244453,-0.895256164,-0.924162969,-1,-1,-1,-1,-1,-0.828963292,-0.974989915,-0.655506253,-0.915288423,-1,-1,-1,-1,-0.706333199,-0.955627269,-0.678902783,-1,-0.686187979,-1,-1,-0.912868092,-1,-0.808793868,-0.976603469,-0.933844292,-1,-0.899122621,-0.472851956,-0.858814038,-1,-1,-0.891085115,0.11012505,-0.877369907,-0.939491731,-1,-1,-0.949979831,-1,-1,-1,-1,-0.910447761,-0.706413877,-0.850746269,-0.436756757,-0.583848326,-0.67728923,-0.88705123,-1,-1,-0.939491731,-1,-1,-0.9265833,-1
f2,-0.53381877,-0.404530744,-1,-1,-1,-0.828461811,-0.860841424,-1,-0.91828479,-1,-1,-1,-1,-1,-0.930420712,-1,-1,-1,-1,-1,-1,-0.547249191,-0.903721683,-1,-0.809692031,-1,-0.881877023,-1,-1,-0.92394822,-0.910194175,-0.508899676,-1,-0.958737864,-1,-0.919902913,-1,-1,-1,-1,-1,-0.854368932,-1,-1,-0.856796117,-1,-1,-0.917475728,-0.317152104,-1,-0.8802589,-0.800064725,-0.881877023,-1,-1,-1,-1,-0.944983819,-0.45631068,-0.754854369,-1,-0.715210356,-1,-1,-0.882686084,-1,-1,-0.481553398,-0.46763754,-0.906148867,-0.584304207,-0.948220065,-1,-1,-0.954692557,-1,-0.887540453,-0.770226537,-0.953074434,-1,-0.910194175,-1,-0.477427184,-1,-0.860841424,-0.66828479,-1,-0.935275081,-0.893203883,-1,-1,-1,-0.813915858,-1,-1,-0.585113269,-1,-0.88592233,-0.894959559,-0.92394822,-1,-1,-1,-1,-1,-0.829288026,-0.974919094,-0.656957929,-0.915048544,-1,-1,-1,-1,-0.708737864,-0.955501618,-0.682847896,-1,-0.686658576,-1,-1,-0.911812298,-1,-0.809061489,-0.976537217,-0.933656958,-1,-0.912595138,-0.473252427,-0.859223301,-1,-1,-0.890776699,0.106796117,-0.877022654,-0.94012945,-1,-1,-0.891585761,-1,-1,-1,-1,-0.910194175,-0.706634304,-0.851132686,-0.439142395,-0.583033981,-0.680420712,-0.886731392,-1,-1,-0.939320388,-1,-1,-0.933656958,-1
f3,-0.299969391,-0.26201408,-1,-1,-1,-0.25459335,-0.377410468,-1,-0.413529232,-1,-1,-1,-1,-1,-0.419651056,-1,-1,-1,-1,-1,-1,-0.373431283,-0.267829813,-1,-0.108933047,-1,-0.334863789,-1,-1,-0.450566269,-0.308846036,-0.474747475,-1,-0.161922253,-1,-0.350474441,-1,-1,-1,-1,-1,-0.247321702,-1,-1,-0.349556168,-1,-1,-0.368839914,-0.367003367,-1,-0.603611876,-0.451178451,-0.367309458,-1,-1,-1,-1,-0.170186716,-0.278236915,-0.036730946,-1,-0.292929293,-1,-1,-0.182124273,-1,-1,-0.358126722,-0.287419651,-0.287725742,-0.312213039,-0.278849097,-1,-1,-0.371288644,-1,-0.25956535,-0.078359351,-0.149066422,-1,-0.279461279,-1,-0.3275176,-1,-0.363636364,0.03275176,-1,-0.270584634,-0.423018059,-1,-1,-1,-0.363942455,-1,-1,-0.35506581,-1,-0.370676462,-0.277113792,-0.559534741,-1,-1,-1,-1,-1,-0.272421182,-0.324150597,-0.213957759,-0.302724212,-1,-1,-1,-1,-0.363330272,-0.315886134,-0.136822773,-1,-0.280991736,-1,-1,-0.428833792,-1,-0.274869911,-0.402509948,-0.431588613,-1,-0.109925815,-0.359351087,-0.411386593,-1,-1,-0.406489134,-0.362105908,-0.500459137,-0.290480563,-1,-1,-0.355677992,-1,-1,-1,-1,-0.31986532,-0.385674931,-0.235384144,-0.232629324,-0.317110499,-0.179369452,-0.292011019,-1,-1,-0.314661769,-1,-1,-0.382307928,-1
f4,-0.43176746,-1,-1,-1,-1,-0.972071726,-0.946848164,-1,-0.962656745,-1,-1,-1,-1,-1,-0.944035038,-1,-1,-1,-1,-1,-1,0.030877629,-0.948914558,-1,-0.952253425,-1,-0.91589181,-1,-1,-0.960241762,-0.957949567,-0.720795961,-1,-0.970238321,-1,-0.952812754,-1,-1,-1,-1,-1,-0.870414068,-1,-1,-0.9497355,-1,-1,-0.917029608,-0.46319397,-1,-0.962725828,-0.811510507,-0.945563656,-1,-1,-1,-1,-0.975022882,-0.500818929,-0.93135473,-1,-0.63196204,-1,-1,-0.944100459,-1,-1,-0.472477728,-0.499110157,-0.950308427,-0.607527579,-0.977223292,-1,-1,-0.979423458,-1,-0.918733253,-0.918927809,-0.967722033,-1,-0.957373222,-1,-0.438546402,-1,-0.951825328,-0.5968231,-1,-0.960064782,-0.928572606,-1,-1,-1,-0.935409646,-1,-1,-0.609179473,-1,-0.945921522,-0.955059062,-0.966179256,-1,-1,-1,-1,-1,-0.854564233,-0.963604137,-0.80359157,-0.966335242,-1,-1,-1,-1,-0.625821935,-0.963308031,-0.765274803,-1,-0.584917111,-1,-1,-0.959896102,-1,-0.956480511,-0.974772181,-0.956168538,-1,-0.928556787,-0.479807626,-1,-1,-1,-0.95819563,1,-0.944720011,-0.978436276,-1,-1,-0.962335496,-1,-1,-1,-1,-0.932897019,-0.79323861,-0.866370382,-1,-0.607479245,-0.580807026,-0.947823629,-1,-1,-0.947481142,-1,-1,-0.959719854,-1
f5,-0.617601992,-1,-1,-1,-1,-0.929227962,-0.960949466,-1,-1,-1,-1,-1,-1,-1,-0.972316755,-1,-1,-1,-1,-1,-1,-0.63951617,-0.945609626,-1,-1,-1,-0.845644604,-1,-1,-0.928222568,-0.955771952,-1,-1,-0.951970247,-1,-1,-1,-1,-1,-1,-1,-0.829108417,-1,-1,-0.906731409,-1,-1,-0.968391906,-0.520032396,-1,-0.937082005,-0.687616531,-0.905280999,-1,-1,-1,-1,-0.935016295,0.018935289,-0.935876832,-1,-0.017243845,-1,-1,-0.918882113,-1,-1,-0.531753986,-0.098717925,-0.973849751,-0.547014813,-0.950138847,-1,-1,-0.958643772,-1,-0.793593546,-0.703082668,-0.982603066,-1,-0.958867575,-1,-0.454673375,-1,-0.934331017,-0.704596541,-1,-0.959047247,-0.911411934,-1,-1,-1,-0.929195322,-1,-1,-0.55397056,-1,-1,-0.979478265,-1,-1,-1,-1,-1,-1,-0.809336652,-0.972621883,-0.687281352,-0.926665615,-1,-1,-1,-1,-0.406819091,-0.967335725,-0.845401468,-1,-0.712574636,-1,-1,-0.870806548,-1,-0.940237309,-1,-1,-1,-0.919185482,-0.327622756,-1,-1,-1,-0.875326103,0.576706189,-0.946894863,-0.961251652,-1,-1,-0.866419594,-1,-1,-1,-1,-0.971026684,-0.806432049,-0.880035418,-1,-1,-0.753431353,-0.885545589,-1,-1,-0.913513578,-1,-1,-1,-1
f6,-0.98497817,-1,-1,-1,-1,-0.99894219,-0.994705025,-1,-0.996094649,-1,-1,-1,-1,-1,-0.996660926,-1,-1,-1,-1,-1,-1,-0.986320561,-0.994699605,-1,-0.997516488,-1,-0.991667673,-1,-1,-1,-0.999090963,-0.977241028,-1,-0.999403267,-1,-0.998911323,-1,-1,-1,-1,-1,-0.99705634,-1,-1,-0.998755429,-1,-1,-0.996140333,-0.967608122,-1,-0.996891412,-0.992370745,-0.997826002,-1,-1,-1,-1,-0.998642122,-0.983679914,-0.994862726,-1,-0.994686958,-1,-1,-0.999782419,-1,-1,-0.982975551,-0.983112862,-1,-0.977028867,-0.999225692,-1,-1,-0.997829873,-1,-1,-0.997000331,-0.999355002,-1,-0.997653331,-1,-0.982827917,-1,-0.997112348,-0.994030861,-1,-0.996792043,-0.997377677,-1,-1,-1,-0.99536809,-1,-1,-0.979165957,-1,-0.996918255,-0.998935144,-0.996882637,-1,-1,-1,-1,-1,-0.992471147,-0.999774935,-0.988740015,-0.996908189,-1,-1,-1,-1,-0.994817816,-0.998890159,-0.993133954,-1,-0.994221341,-1,-1,-0.993659451,-1,-0.99769024,1,-0.997423878,-1,-0.994237937,-0.982916446,-0.997321153,-1,-1,-0.999486118,-0.973570292,-0.998629217,-0.998653995,-1,-1,-0.996501935,-1,-1,-1,-1,-0.998554367,-0.986635963,-0.99388271,-1,-0.977467642,-0.994082739,-0.998226319,-1,-1,-0.997170937,-1,-1,-0.997786512,-1
f7,-0.985194666,-1,-1,-1,-1,-0.9992562,-0.997941782,-1,-0.996471626,-1,-1,-1,-1,-1,-0.999740561,-1,-1,-1,-1,-1,-1,-0.721535189,-0.997284536,-1,-0.999261934,-1,-0.994638255,-1,-1,-0.99991352,-0.996592698,-0.954183026,-1,-0.99854714,-1,-0.998339589,-1,-1,-1,-1,-1,-0.645727035,-1,-1,-0.998668212,-1,-1,0.599235519,-0.944151374,-1,-0.999896224,-0.996091115,-0.995157134,-1,-1,-1,-1,-0.939031773,-0.975785669,-0.997371015,-1,-0.997889894,-1,-1,-0.998045558,-1,-1,-0.968867288,-0.972326478,-0.99517443,-0.946970614,-0.879775844,-1,-1,-0.997249944,-1,-0.997232648,-0.997146168,-0.996852137,-1,-0.997353719,-1,-0.970596883,-1,-0.999757857,-0.99662729,-1,-0.995485757,-0.998996835,-1,-1,-1,-1,-1,-1,-0.946382552,-1,-0.989414878,-0.996168336,-1,-1,-1,-1,-1,-1,-0.993600498,-0.99662729,-0.997059688,-0.999463826,-1,-1,-1,-1,-0.998495252,-0.999757857,-0.916685404,-1,-0.996731065,-1,-1,-0.999948112,-1,-0.999948112,-0.993029732,-0.999152498,-1,-0.980570818,-0.97090821,-1,-1,-1,-0.999515713,-0.539253161,-0.998564436,-0.996488922,-1,-1,-0.998443364,-1,-1,-1,-1,-0.999515713,-0.987892834,-0.969213207,-1,-0.948752097,-0.996523514,-0.997630455,-1,-1,-0.999429234,-1,-1,-0.965857793,-1
f8,-0.308511711,-1,-1,-1,-1,-0.970192926,-0.934717564,-1,-0.959335327,-1,-1,-1,-1,-1,-0.93118922,-1,-1,-1,-1,-1,-1,0.015423905,-0.933773312,-1,-0.969342253,-1,-0.881894553,-1,-1,-0.967750932,-0.947104405,-0.740066534,-1,-0.963780369,-1,-0.959196882,-1,-1,-1,-1,-1,-0.936118149,-1,-1,-0.929540643,-1,-1,-0.905743473,-0.302645922,-1,-0.955540173,-0.668445176,-0.944168823,-1,-1,-1,-1,-0.978424006,-0.390974159,-0.918482476,-1,-0.295515306,-1,-1,-0.923425518,-1,-1,-0.260391814,-0.390600491,-0.934721597,-0.502058537,-0.977601398,-1,-1,-0.973880171,-1,-0.962635841,-0.912670453,-0.975050909,-1,-0.956317081,-1,-0.228737525,-1,-0.953112672,-0.214622803,-1,-0.962941631,-0.893176518,-1,-1,-1,-0.903816661,-1,-1,-0.493934608,-1,-0.952314258,-0.950442347,-0.96075473,-1,-1,-1,-1,-1,-0.848047985,-0.943420142,-0.86003898,-0.952446655,-1,-1,-1,-1,-0.299911959,-0.959844081,-0.746712591,-1,-0.156141671,-1,-1,-0.947330891,-1,-0.960368292,-0.96789341,-0.936992506,-1,-0.931805208,-0.335890991,-1,-1,-1,-0.93791458,-0.088947881,-0.930474142,-0.985973991,-1,-1,-0.945420209,-1,-1,-1,-1,-0.889839712,-0.691253066,-0.764660775,-1,-0.521401929,-0.149945899,-0.942499412,-1,-1,-0.921501395,-1,-1,-0.938232467,-1
f9,-0.618835434,-1,-1,-1,-1,-0.97944024,-0.964620499,-1,-0.972905893,-1,-1,-1,-1,-1,-0.962747585,-1,-1,-1,-1,-1,-1,-0.208225783,-0.967530004,-1,-0.955971437,-1,-0.950518149,-1,-1,-0.966265244,-0.972585519,-0.77848499,-1,-0.980048688,-1,-0.961092856,-1,-1,-1,-1,-1,-0.878042163,-1,-1,-0.970343485,-1,-1,-0.968527247,-0.659899747,-1,-0.974589107,-0.91819263,-0.958992949,-1,-1,-1,-1,-0.98041634,-0.666029442,-0.953086137,-1,-0.86512235,-1,-1,-0.966247331,-1,-1,-0.689110498,-0.664195878,-0.96882824,-0.746346527,-0.984428803,-1,-1,-0.986706956,-1,-0.91861314,-0.940680509,-0.972125953,-1,-0.967853902,-1,-0.662094503,-1,-0.962539386,-0.858218589,-1,-0.968228896,-0.960768957,-1,-1,-1,-0.964327434,-1,-1,-0.752010783,-1,-0.955961872,-0.967657116,-0.976463195,-1,-1,-1,-1,-1,-0.891550747,-0.98099689,-0.824935176,-0.98029007,-1,-1,-1,-1,-0.855804768,-0.973411269,-0.829723468,-1,-0.869447259,-1,-1,-0.974771172,-1,-0.964965834,-0.983799212,-0.974817862,-1,-0.94418436,-0.664904754,-1,-1,-1,-0.976847292,1,-0.963903988,-0.980248077,-1,-1,-0.978566038,-1,-1,-1,-1,-0.967420178,-0.886356629,-0.942602169,-1,-0.737806242,-0.867213741,-0.96239902,-1,-1,-0.971131354,-1,-1,-0.979113406,-1
f10,-0.998651382,-1,-1,-1,-1,-0.998651247,-0.998314228,-1,-0.995616993,-1,-1,-1,-1,-1,-0.999662846,-1,-1,-1,-1,-1,-1,-0.987188132,-0.997302765,-1,-0.99929818,-1,-0.99696561,-1,-1,-1,-0.996291301,-0.992245448,-1,-0.997639919,-1,-0.998314228,-1,-1,-1,-1,-1,-0.869858395,-1,-1,-0.998651382,-1,-1,-0.082939987,-0.994942684,-1,-1,-0.998988537,-0.995616993,-1,-1,-1,-1,-0.883681726,-0.997639919,-0.998314228,-1,-0.999662846,-1,-1,-0.998314228,-1,-1,-0.997302765,-0.997302765,-0.995279838,-0.993594066,-0.74881996,-1,-1,-0.993594066,-1,-0.998314228,-0.998314228,-0.995279838,-1,-0.99696561,-1,-0.997639919,-1,-0.999662846,-0.999662846,-1,-0.994605529,-0.999325691,-1,-1,-1,-1,-1,-1,-0.993594066,-1,-0.990559676,-0.995831166,-1,-1,-1,-1,-1,-1,-0.997977073,-0.995616993,-0.999325691,-0.999325691,-1,-1,-1,-1,-0.999662846,-0.999662846,-0.983142279,-1,-0.999662846,-1,-1,-1,-1,-1,-0.986850978,-0.998988537,-1,-0.987184287,-0.997302765,-1,-1,-1,-0.999325691,-0.988873904,-0.998651382,-0.992245448,-1,-1,-0.997977073,-1,-1,-1,-1,-0.999662846,-0.997302765,-0.988873904,-1,-0.99393122,-0.999662846,-0.997977073,-1,-1,-0.999325691,-1,-1,-0.95954147,-1
f11,0.03114429,-1,-1,-1,-1,-0.09544203,0.040709203,-1,-0.077335822,-1,-1,-1,-1,-1,0.041875656,-1,-1,-1,-1,-1,-1,-0.165286364,0.098565263,-1,-0.433770198,-1,0.189781873,-1,-1,-0.312726,0.065904584,-0.211011315,-1,0.03114429,-1,-0.26723434,-1,-1,-1,-1,-1,-0.582176601,-1,-1,0.187915549,-1,-1,-0.037443135,0.100898169,-1,0.010614721,0.49049341,-0.130992651,-1,-1,-1,-1,-0.267934212,0.033943777,0.0061822,-1,0.622069287,-1,-1,0.160853843,-1,-1,0.188148839,0.030911,0.113262569,0.075002916,-0.166686108,-1,-1,0.075702788,-1,-0.610404759,-0.087134025,-0.344920098,-1,-0.131692523,-1,0.164119911,-1,-0.175317858,0.650530736,-1,-0.213577511,0.26723434,-1,-1,-1,0.261868657,-1,-1,0.09739881,-1,-0.252770325,-0.037270782,-0.016680275,-1,-1,-1,-1,-1,-0.114662312,0.317391812,-0.396244022,0.197013881,-1,-1,-1,-1,0.585442669,-0.07267001,-0.085734282,-1,0.72261752,-1,-1,0.112795987,-1,-0.228274816,0.078502275,0.218010031,-1,-0.190938898,0.081768342,-1,-1,-1,0.258369299,-0.613904118,0.065671294,-0.448734399,-1,-1,0.227808235,-1,-1,-1,-1,0.39111163,0.265134725,0.492359734,-1,0.033243905,0.71841829,-0.066137875,-1,-1,0.266534469,-1,-1,0.299428438,-1
f12,0.1152,-1,-1,-1,-1,0.224122412,0.1066,-1,0.2062,-1,-1,-1,-1,-1,0.1066,-1,-1,-1,-1,-1,-1,0.2768,0.0568,-1,0.595753539,-1,-0.0218,-1,-1,0.4106,0.084,0.319,-1,0.1146,-1,0.3708,-1,-1,-1,-1,-1,0.5648,-1,-1,-0.019,-1,-1,-0.3694,0.0534,-1,0.1334,-0.2784,0.2524,-1,-1,-1,-1,0.3036,0.1124,0.1362,-1,-0.3908,-1,-1,0.0038,-1,-1,-0.0202,0.1146,0.043,0.0746,0.1366,-1,-1,0.074,-1,0.665,0.2164,0.4358,-1,0.2538,-1,0.0006,-1,0.2928,-0.4154,-1,0.3226,-0.0868,-1,-1,-1,-0.0818,-1,-1,0.0554,-1,0.354,0.232972694,0.157,-1,-1,-1,-1,-1,0.2398,-0.132,0.482,-0.0266,-1,-1,-1,-1,-0.3592,0.2048,0.206,-1,-0.477,-1,-1,0.046,-1,0.3384,0.0676,-0.0448,-1,0.299389817,0.071,-1,-1,-1,-0.0792,0.6626,0.0856,0.5228,-1,-1,-0.0538,-1,-1,-1,-1,-0.1928,-0.0862,-0.2858,-1,0.1106,-0.4734,0.1982,-1,-1,-0.0862,-1,-1,-0.1378,-1
f13,-0.985194666,-1,-1,-1,-1,-0.9992562,-0.997941782,-1,-0.996471626,-1,-1,-1,-1,-1,-0.999740561,-1,-1,-1,-1,-1,-1,-0.721535189,-0.997284536,-1,-0.999261934,-1,-0.994638255,-1,-1,-0.99991352,-0.996592698,-0.954183026,-1,-0.99854714,-1,-0.998339589,-1,-1,-1,-1,-1,-0.645727035,-1,-1,-0.998668212,-1,-1,0.599235519,-0.944151374,-1,-0.999896224,-0.996091115,-0.995157134,-1,-1,-1,-1,-0.939031773,-0.975785669,-0.997371015,-1,-0.997889894,-1,-1,-0.998045558,-1,-1,-0.968867288,-0.972326478,-0.99517443,-0.946970614,-0.879775844,-1,-1,-0.997249944,-1,-0.997232648,-0.997146168,-0.996852137,-1,-0.997353719,-1,-0.970596883,-1,-0.999757857,-0.99662729,-1,-0.995485757,-0.998996835,-1,-1,-1,-1,-1,-1,-0.946382552,-1,-0.989414878,-0.996168336,-1,-1,-1,-1,-1,-1,-0.993600498,-0.99662729,-0.997059688,-0.999463826,-1,-1,-1,-1,-0.998495252,-0.999757857,-0.916685404,-1,-0.996731065,-1,-1,-0.999948112,-1,-0.999948112,-0.993029732,-0.999152498,-1,-0.980570818,-0.97090821,-1,-1,-1,-0.999515713,-0.539253161,-0.998564436,-0.996488922,-1,-1,-0.998443364,-1,-1,-1,-1,-0.999515713,-0.987892834,-0.969213207,-1,-0.948752097,-0.996523514,-0.997630455,-1,-1,-0.999429234,-1,-1,-0.965857793,-1
f14,-0.984782609,-1,-1,-1,-1,-0.999894588,-1,-1,-0.986982872,-1,-1,-1,-1,-1,-0.998774704,-1,-1,-1,-1,-1,-1,-1,-0.928405797,-1,-0.958655995,-1,-0.99911726,-1,-1,-0.996916996,-0.996166008,-0.779762846,-1,-0.999855072,-1,-1,-1,-1,-1,-1,-1,-0.998392622,-1,-1,-1,-1,-1,0.129011858,-0.986047431,-1,-0.987667984,-1,-1,-1,-1,-1,-1,-0.997760211,-0.989459816,-0.993583663,-1,-0.993689065,-1,-1,-0.991791831,-1,-1,-0.960474308,-0.986824769,-1,-0.992964427,-1,-1,-1,-0.820118577,-1,-1,-0.99997365,-0.824321476,-1,-0.998050066,-1,-0.913043478,-1,-1,-0.994505929,-1,-0.943636364,-0.999038208,-1,-1,-1,-0.999354414,-1,-1,-0.993412385,-1,-1,-1,-0.988801054,-1,-1,-1,-1,-1,-0.85602108,-0.253017128,-1,-0.440527009,-1,-1,-1,-1,-0.994519104,-1,-0.997088274,-1,-0.995046113,-1,-1,-1,-1,-1,-0.99884058,-0.901818182,-1,-0.357844244,-0.95571805,-1,-1,-1,-1,-0.526258235,-0.998221344,-0.998155468,-1,-1,-0.959578393,-1,-1,-1,-1,0.169393939,-0.998682477,-0.998972332,-1,-0.993465086,-0.994980237,-0.999960474,-1,-1,-0.542384717,-1,-1,-0.95997365,-1
f15,-0.590994222,-1,-1,-1,-1,-0.971536379,-0.962558487,-1,-0.990961301,-1,-1,-1,-1,-1,-0.966803491,-1,-1,-1,-1,-1,-1,-0.370320439,-0.967703806,-1,-0.985566254,-1,-0.872662224,-1,-1,-0.970740148,-0.951749297,-0.810796284,-1,-0.979060913,-1,-0.975785776,-1,-1,-1,-1,-1,-0.967390821,-1,-1,-0.93197096,-1,-1,-0.977332154,-0.606700662,-1,-0.983223228,-0.65422725,-0.954743907,-1,-1,-1,-1,-0.981135888,-0.649224898,-0.979924907,-1,-0.246193657,-1,-1,-0.92036501,-1,-1,-0.547524076,-0.625688422,-0.970521445,-0.639136733,-0.983082578,-1,-1,-0.99088943,-1,-0.987882455,-0.944777844,-0.992298249,-1,-0.981698489,-1,-0.56947167,-1,-0.967380002,-0.148400898,-1,-0.986156014,-0.934501115,-1,-1,-1,-0.930838804,-1,-1,-0.637246458,-1,-0.97413507,-0.969568061,-0.967231624,-1,-1,-1,-1,-1,-0.957533724,-0.983246412,-0.900741234,-0.990851563,-1,-1,-1,-1,-0.257922482,-0.98207098,-0.942299466,-1,-0.083436019,-1,-1,-0.956252417,-1,-0.985562502,-0.986798213,-0.953471101,-1,-0.981699954,-0.5904919,-1,-1,-1,-0.941578442,-0.424930535,-0.981257218,-0.988134389,-1,-1,-0.96441244,-1,-1,-1,-1,-0.975530751,-0.689874315,-0.910219658,-1,-0.657532526,-0.072145373,-0.955270185,-1,-1,-0.989843828,-1,-1,-0.953393048,-1
f16,-0.619370341,-1,-1,-1,-1,-0.968205803,-0.945289877,-1,-0.97276816,-1,-1,-1,-1,-1,-0.944016594,-1,-1,-1,-1,-1,-1,-0.410592898,-0.904154601,-1,-0.943442486,-1,-0.961041628,-1,-1,-0.904113528,-0.908857536,-0.588482944,-1,-0.956010104,-1,-0.973815538,-1,-1,-1,-1,-1,-0.797732734,-1,-1,-0.980798061,-1,-1,-0.89450229,-0.67124638,-1,-0.973343191,-0.864497977,-0.785841907,-1,-1,-1,-1,-0.963423901,-0.652927526,-0.877949603,-1,-0.877744234,-1,-1,-0.955804736,-1,-1,-0.61801491,-0.650873842,-0.9530528,-0.708931469,-0.979504241,-1,-1,-0.867701723,-1,-0.650463106,-0.892551291,-0.958289693,-1,-0.94974637,-1,0.174706837,-1,-0.93535005,-0.70451605,-1,-0.907194053,-0.94935617,-1,-1,-1,-0.919803668,-1,-1,-0.689893825,-1,-0.965457047,-0.920391999,-0.977060358,-1,-1,-1,-1,-1,-0.627564537,-0.979463167,-0.645924466,-0.949725833,-1,-1,-1,-1,-0.881050664,-0.926026328,-0.118127862,-1,-0.726593145,-1,-1,-0.948185571,-1,-0.958207545,-0.95551722,-0.9426817,-1,-0.676345103,-0.652660547,-1,-1,-1,-0.956338693,1,-0.933850862,-0.989382457,-1,-1,-0.960035323,-1,-1,-1,-1,-0.655864293,-0.728913807,-0.965148995,-1,-0.716242581,-0.728379849,-0.947261413,-1,-1,-0.787423244,-1,-1,-0.962232764,-1
f17,0.08994107,-1,-0.997572315,-0.997425728,-0.996332402,-0.986457298,-0.895484325,-0.998170565,-0.894410192,-0.99573397,-0.998765843,-0.998099388,-0.995953802,-0.997219703,-0.871440088,-0.997389665,-0.964765977,-0.991977361,-0.999032199,-0.998565187,-0.996265381,0.515595372,-0.894062745,-0.986813486,-0.952202008,-0.988325828,-0.979568757,-0.992818808,-0.993838701,-0.988145928,-0.9737916,-0.761133631,-0.99720916,-0.944033791,-0.995120979,-0.936176494,-0.994217831,-0.99572906,-0.997915126,-0.989228494,-0.998081234,-0.902610394,-0.996415406,-0.980207556,-0.96394727,-0.998656213,-0.988258318,-0.95438226,0.161869401,-0.998299456,-0.904143248,-0.910726573,-0.968014443,-0.988498286,-0.988591574,-0.997322031,-0.999006575,-0.98695825,-0.013069001,-0.79814695,-0.995129428,-0.849242089,-0.997365829,-0.993618589,-0.981567145,-0.998123804,-0.998718311,0.120459629,-0.081650032,-0.871240249,-0.411268181,-0.976294126,-0.997912707,-0.992102443,-0.984146881,-0.999218322,-0.948005586,-0.879072566,-0.973221605,-0.998713304,-0.912068672,-0.99806202,0.196080435,-0.980050031,-0.944571993,-0.882288154,-0.999400594,-0.935438453,-0.837281284,-0.997814595,-0.991311157,-0.99647615,-0.887209183,-0.996643953,-0.999123525,-0.39140012,-0.998724002,-0.918695144,-0.930773384,-0.968148426,-0.993640035,-0.998666256,-0.996558139,-0.996050732,-0.99651095,-0.677344415,-0.989070182,-0.857901012,-0.968191573,-0.992003121,-0.997741975,-0.968070801,-0.997509516,-0.829124229,-0.925178549,-0.411717819,-0.995585692,-0.873047882,-0.981141797,-0.989265065,-0.956314791,-0.981943113,-0.913131451,-0.935424828,-0.947085874,-0.997599975,-0.969817562,-0.00537748,-1,-0.996110655,-0.996858642,-0.966715491,0.085764894,-0.827770776,-0.988965721,-0.998712181,-0.98632021,-0.931537055,-0.99852483,-0.996735972,-0.973860668,-0.996814456,-0.939285349,-0.898263901,-0.472645933,-1,-0.421677964,-0.885104064,-0.942984637,-0.998079081,-0.964784076,-0.86698005,-0.983488239,-0.99506141,-0.939319413,-0.989710113
